Comment ID,Positive,Negative,Neutral,Compound
c1q0zr8,0.0,0.0,1.0,0.0
c1q07j4,0.0,0.104,0.896,-0.6199
c1q0rdw,0.11,0.037,0.852,0.9252
c1q1f1q,0.0,0.0,1.0,0.0
c1pyxcc,0.137,0.058,0.805,0.8206
c1pyhb9,0.236,0.085,0.68,0.7365
c1pzvph,0.0,0.0,1.0,0.0
c1pz7gp,0.087,0.0,0.913,0.25
c1q1ggn,0.0,0.124,0.876,-0.4019
c1q1i2h,0.0,0.0,1.0,0.0
c1q3i5l,0.023,0.202,0.775,-0.9657
c1q3o2v,0.221,0.023,0.755,0.8842
c1q45eg,0.182,0.0,0.818,0.8644
c1q6a18,0.064,0.021,0.915,0.453
c1pz03d,0.099,0.0,0.901,0.8065
c1pzgkd,0.206,0.0,0.794,0.7579
c1pz72g,0.0,0.0,1.0,0.0
c1pya2z,0.231,0.0,0.769,0.5106
c1pyrw4,0.503,0.0,0.497,0.8442
c1py4w1,0.369,0.0,0.631,0.8016
c1pym56,0.267,0.0,0.733,0.3724
c1pzdzu,0.0,0.159,0.841,-0.3527
c1pycbf,0.0,0.0,1.0,0.0
c1py8d2,0.0,0.145,0.855,-0.3328
c1q8w2d,0.0,0.0,1.0,0.0
c1pytb6,0.278,0.0,0.722,0.6597
c1pzz8o,0.0,0.0,1.0,0.0
c1pyzfd,0.392,0.0,0.608,0.9541
c1pyywv,0.18,0.0,0.82,0.296
c1q1f6d,0.218,0.0,0.782,0.6486
c1q2q5v,0.0,0.0,1.0,0.0
c1pyt1a,0.668,0.0,0.332,0.7925
c1pzfjm,0.116,0.116,0.768,-0.0057
c1pzzyw,0.138,0.013,0.849,0.9516
c1pz9nm,0.117,0.114,0.769,0.7015
c1pys4i,0.0,0.05,0.95,-0.296
c1pylb4,0.08,0.08,0.839,0.0
c1pz6m2,0.285,0.036,0.679,0.9537
c1pythh,0.057,0.045,0.898,0.1613
c1q0kf1,0.232,0.0,0.768,0.9214
c1q1d9q,0.096,0.068,0.837,0.34
c1pzgxl,0.0,0.059,0.941,-0.2057
c1q0ezw,0.061,0.076,0.863,-0.2928
c1q0fjc,0.067,0.041,0.892,0.1531
c1q10d6,0.177,0.0,0.823,0.659
c1q24o5,0.037,0.11,0.854,-0.5574
c1q2fxg,0.498,0.164,0.339,0.6068
c1q2md8,0.0,0.0,1.0,0.0
c1q47v1,0.022,0.017,0.961,0.1171
c1qa7xq,0.094,0.019,0.887,0.7743
c1pyn37,0.1,0.0,0.9,0.3732
c1pyj8c,0.407,0.0,0.593,0.7002
c1pyk2t,0.374,0.0,0.626,0.8795
c1pyq0f,0.233,0.055,0.713,0.6956
c1pzfv6,0.091,0.0,0.909,0.4019
c1pyu62,0.131,0.053,0.816,0.2263
c1q105h,0.188,0.08,0.732,0.9016
c1q0or8,0.085,0.163,0.752,-0.5859
c1q0ysv,0.207,0.0,0.793,0.7783
c1q1vgt,0.08,0.156,0.764,-0.5273
c1q2z72,0.191,0.103,0.707,0.8704
c1q53c5,0.336,0.126,0.538,0.5709
c1pz3ck,0.226,0.121,0.653,0.4744
c1q0dqy,0.24,0.021,0.738,0.909
c1q0axz,0.316,0.091,0.593,0.6908
c1q0rjq,0.207,0.066,0.727,0.6642
c1pyo22,0.383,0.0,0.617,0.8519
c1q0xh8,0.258,0.0,0.742,0.7906
c1pyofe,0.212,0.0,0.788,0.7684
c1pycwd,0.208,0.234,0.557,-0.1184
c1pzjja,0.111,0.191,0.698,-0.6909
c1pzxim,0.115,0.067,0.818,0.5994
c1q0r34,0.105,0.225,0.67,-0.5423
c1pyt4b,0.329,0.26,0.411,0.128
c1q1jve,0.07,0.036,0.894,0.5564
c1py8u6,0.268,0.108,0.623,0.7098
c1pyyws,0.0,0.0,1.0,0.0
c1py8l9,0.09,0.256,0.654,-0.62
c1pywwx,0.245,0.069,0.687,0.6249
c1py9ni,0.0,0.0,1.0,0.0
c1pzloo,0.315,0.0,0.685,0.8624
c1q13j6,0.0,0.487,0.513,-0.5848
c1pytfa,0.0,0.0,1.0,0.0
c1pytfy,0.0,0.0,1.0,0.0
c1q0yid,0.0,0.164,0.836,-0.7086
c1py8df,0.528,0.0,0.472,0.7717
c1py8bq,0.352,0.0,0.648,0.5859
c1py7k4,0.13,0.0,0.87,0.4585
c1pz6p6,0.279,0.0,0.721,0.4754
c1pyz4j,0.312,0.055,0.634,0.852
c1py7j2,0.238,0.0,0.762,0.3612
c1q0jw8,0.209,0.0,0.791,0.5719
c1q1ue5,0.113,0.072,0.815,0.8424
c1pzyju,0.17,0.075,0.754,0.7992
c1q1ytb,0.081,0.069,0.85,0.0445
c1q22e5,0.171,0.035,0.794,0.8685
c1py86k,0.0,0.0,1.0,0.0
c1py8x0,0.5,0.0,0.5,0.7177
c1pyc3s,0.266,0.0,0.734,0.5719
c1py905,0.0,0.0,1.0,0.0
c1pyp2l,0.103,0.092,0.805,0.0772
c1pypcd,0.057,0.0,0.943,0.2732
c1pypnx,0.0,0.0,1.0,0.0
c1q0zlv,0.096,0.04,0.864,0.4588
c1q0g23,0.184,0.126,0.69,0.25
